Rank,Scenario ID,Name,Cash Down ($),LOC Initial ($),Mortgage Initial ($),Velocity Tier,Quarterly Extra ($),Payoff Month,Payoff Years,Nominal Outflows ($),Total Interest ($),Tax Savings ($),PV Outflows @ 3.8% ($),Delta PV vs Baseline ($),Strategy IRR vs Baseline (%)
394,384,C400k_L1000k_M300k_V3,400000,1000000,300000,V3,40000,84,7.00,1935720.18,265286.67,27732.55,1761873.20,-103478.90,6.11%
395,278,C300k_L400k_M1000k_V2,300000,400000,1000000,V2,15000,175,14.58,2180173.64,717987.04,135077.93,1762371.52,-102980.58,6.61%
396,339,C400k_L100k_M1200k_V3,400000,100000,1200000,V3,40000,78,6.50,1937518.13,295269.51,56767.61,1762433.18,-102918.92,6.11%
397,344,C400k_L200k_M1100k_V3,400000,200000,1100000,V3,40000,78,6.50,1941311.56,300494.09,58198.76,1762443.59,-102908.51,6.13%
398,389,C400k_L1100k_M200k_V3,400000,1100000,200000,V3,40000,81,6.75,1935887.30,256143.07,18881.79,1764044.38,-101307.72,6.08%
399,394,C400k_L1200k_M100k_V3,400000,1200000,100000,V3,40000,81,6.75,1936336.39,247403.65,9693.28,1766121.45,-99230.65,6.05%
400,322,C300k_L1300k_M100k_V1,300000,1300000,100000,V1,5000,273,22.75,2294303.65,859675.55,27428.06,1766717.11,-98634.99,6.64%
401,286,C300k_L600k_M800k_V0,300000,600000,800000,V0,0,360,30.00,2555187.64,1530723.88,245081.17,1768214.87,-97137.23,14.28%
402,399,C400k_L1300k_M0k_V3,400000,1300000,0,V3,40000,78,6.50,1937461.96,238445.73,0.00,1768666.10,-96686.00,6.03%
403,323,C300k_L1300k_M100k_V2,300000,1300000,100000,V2,15000,165,13.75,2127211.27,538806.46,18829.70,1768961.57,-96390.53,6.25%
404,273,C300k_L300k_M1100k_V2,300000,300000,1100000,V2,15000,171,14.25,2184564.40,715710.93,132459.54,1769050.75,-96301.35,6.52%
405,181,C200k_L100k_M1400k_V0,200000,100000,1400000,V0,0,360,30.00,2638826.97,1885694.92,304298.72,1769293.78,-96058.32,4.84%
406,272,C300k_L300k_M1100k_V1,300000,300000,1100000,V1,5000,284,23.67,2453450.20,1239021.07,227583.13,1771482.39,-93869.71,7.98%
407,424,C500k_L400k_M800k_V3,500000,400000,800000,V3,40000,78,6.50,1932642.56,259952.49,54294.12,1772865.85,-92486.25,6.16%
408,429,C500k_L500k_M700k_V3,500000,500000,700000,V3,40000,78,6.50,1932505.57,256978.72,51457.34,1772872.66,-92479.44,6.16%
409,404,C500k_L0k_M1200k_V3,500000,0,1200000,V3,40000,70,5.83,1922987.83,248859.34,50474.52,1773400.45,-91951.65,6.10%
